ID TIME DONE
# Manager.Done #1
114 1000.4 1.0
# Manager.Done #115
115 0.0 0.0
115 20.5799 0.0
115 20.5799 0.0
115 21.3404 1.0
115 21.3404 1.0
115 1000.03 1.0
# Manager.Done #116
116 0.0 0.0
116 6.6928 0.0
116 6.6928 0.0
116 6.84061 1.0
116 6.84061 1.0
116 1000.75 1.0
# Manager.Done #117
117 0.0 0.0
117 19.5972 0.0
117 19.5972 0.0
117 20.2051 1.0
117 20.2051 1.0
117 1000.05 1.0
# Manager.Done #118
118 0.0 0.0
118 24.5041 0.0
118 24.5041 0.0
118 25.2212 1.0
118 25.2212 1.0
118 1000.23 1.0
# Manager.Done #119
119 0.0 0.0
119 22.0563 0.0
119 22.0563 0.0
119 22.6509 1.0
119 22.6509 1.0
119 1000.63 1.0
# Manager.Done #120
120 0.0 0.0
120 18.8779 0.0
120 18.8779 0.0
120 19.138 1.0
120 19.138 1.0
120 1000.25 1.0
# Manager.Done #121
121 0.0 0.0
121 17.6379 0.0
121 17.6379 0.0
121 18.0802 1.0
121 18.0802 1.0
121 1000.65 1.0
# Manager.Done #122
122 0.0 0.0
122 4.6059 0.0
122 4.6059 0.0
122 5.26668 1.0
122 5.26668 1.0
122 1001.13 1.0
# Manager.Done #123
123 0.0 0.0
123 36.3011 0.0
123 36.3011 0.0
123 37.0305 1.0
123 37.0305 1.0
123 1000.05 1.0
# Manager.Done #124
124 0.0 0.0
124 18.7752 0.0
124 18.7752 0.0
124 19.1169 1.0
124 19.1169 1.0
124 1000.69 1.0
# Manager.Done #125
125 0.0 0.0
125 22.6453 0.0
125 22.6453 0.0
125 22.6453 1.0
125 1000.55 1.0
# Manager.Done #126
126 0.0 0.0
126 22.8875 0.0
126 22.8875 0.0
126 23.5928 1.0
126 23.5928 1.0
126 1000.91 1.0
# Manager.Done #127
127 0.0 0.0
127 4.34129 0.0
127 4.34129 0.0
127 4.6706 1.0
127 4.6706 1.0
127 1000.03 1.0
# Manager.Done #128
128 0.0 0.0
128 9.46994 0.0
128 9.46994 0.0
128 9.95728 1.0
128 9.95728 1.0
128 1000.18 1.0
# Manager.Done #129
129 0.0 0.0
129 19.2672 0.0
129 19.2672 0.0
129 19.944 1.0
129 19.944 1.0
129 1000.3 1.0
# Manager.Done #130
130 0.0 0.0
130 14.7979 0.0
130 14.7979 0.0
130 15.1456 1.0
130 15.1456 1.0
130 1000.77 1.0
# Manager.Done #131
131 0.0 0.0
131 16.7009 0.0
131 16.7009 0.0
131 17.0919 1.0
131 17.0919 1.0
131 1000.24 1.0
# Manager.Done #132
132 0.0 0.0
132 22.1966 0.0
132 22.1966 0.0
132 22.8674 1.0
132 22.8674 1.0
132 1000.03 1.0
# Manager.Done #133
133 0.0 0.0
133 96.345 0.0
133 96.345 0.0
133 96.4973 1.0
133 96.4973 1.0
133 1000.2 1.0
# Manager.Done #134
134 0.0 0.0
134 3.38164 0.0
134 3.38164 0.0
134 4.12773 1.0
134 4.12773 1.0
134 1000.17 1.0
# Manager.Done #135
135 0.0 0.0
135 41.1817 0.0
135 41.1817 0.0
135 41.1817 1.0
135 1000.72 1.0
# Manager.Done #136
136 0.0 0.0
136 17.4658 0.0
136 17.4658 0.0
136 17.8788 1.0
136 17.8788 1.0
136 1000.56 1.0
# Manager.Done #137
137 0.0 0.0
137 11.1069 0.0
137 11.1069 0.0
137 11.3216 1.0
137 11.3216 1.0
137 1000.08 1.0
# Manager.Done #138
138 0.0 0.0
138 11.8081 0.0
138 11.8081 0.0
138 12.4442 1.0
138 12.4442 1.0
138 1000.05 1.0
# Manager.Done #139
139 0.0 0.0
139 9.91582 0.0
139 9.91582 0.0
139 10.4319 1.0
139 10.4319 1.0
139 1000.59 1.0
# Manager.Done #140
140 0.0 0.0
140 7.91609 0.0
140 7.91609 0.0
140 7.979 1.0
140 7.979 1.0
140 1000.64 1.0
# Manager.Done #141
141 0.0 0.0
141 11.6117 0.0
141 11.6117 0.0
141 12.3535 1.0
141 12.3535 1.0
141 1000.5 1.0
# Manager.Done #142
142 0.0 0.0
142 21.8194 0.0
